ob,ot
-1.2,0.511791677
-1.19,-1.246646111
-1.18,-0.276963945
-1.17,-0.776679313
-1.16,-0.358199327
-1.15,0.069727563
-1.14,-0.863483222
-1.13,-0.043678023
-1.12,-0.587647655
-1.11,0.541694405
-1.1,-0.933210773
-1.09,-0.97518442
-1.08,0.758233806
-1.07,-0.834196001
-1.06,-0.814923838
-1.05,-0.788894824
-1.04,-0.900861194
-1.03,-0.151150877
-1.02,0.297791386
-1.01,0.642603364
-1,0.580470274
-0.99,0.445421836
-0.98,-0.01480499
-0.97,0.477176305
-0.96,0.996118962
-0.95,0.111551125
-0.94,-0.269893769
-0.93,0.719622368
-0.92,-0.367226073
-0.91,-0.351394333
-0.9,0.129398797
-0.89,0.458773602
-0.88,0.4706588
-0.87,-0.494752197
-0.86,-0.472412943
-0.85,-0.131082017
-0.84,0.791465614
-0.83,0.162616206
-0.82,1.017963785
-0.81,1.250228232
-0.8,0.198133316
-0.79,-0.47557724
-0.78,0.582372204
-0.77,0.955339951
-0.76,0.120487116
-0.75,0.485868637
-0.74,-0.036694491
-0.73,1.418547485
-0.72,0.524610579
-0.71,0.659992174
-0.7,0.042114199
-0.69,-0.188109996
-0.68,-0.239669167
-0.67,1.29901775
-0.66,1.222956609
-0.65,0.091391462
-0.64,1.510236309
-0.63,1.108600292
-0.62,1.073692962
-0.61,1.760762403
-0.6,-0.132616414
-0.59,0.668506541
-0.58,0.819967346
-0.57,1.027008941
-0.56,0.046539495
-0.55,1.22030926
-0.54,0.024610442
-0.53,1.053661068
-0.52,1.384050498
-0.51,0.955821251
-0.5,1.235201292
-0.49,0.44755515
-0.48,1.331317324
-0.47,0.821284583
-0.46,0.28742568
-0.45,0.855023038
-0.44,0.645721615
-0.43,0.622571225
-0.42,1.405848101
-0.41,1.225855524
-0.4,1.026475493
-0.39,0.655584071
-0.38,1.957107234
-0.37,1.982016507
-0.36,0.847878023
-0.35,1.530785698
-0.34,1.878979004
-0.33,2.249694623
-0.32,2.199206492
-0.31,1.149631407
-0.3,0.725286033
-0.29,2.01350284
-0.28,0.667634359
-0.27,0.777648597
-0.26,1.191656233
-0.25,2.195517129
-0.24,1.685562394
-0.23,1.71235533
-0.22,2.411675978
-0.21,1.730156535
-0.2,0.61995479
-0.19,2.238754572
-0.18,1.857616719
-0.17,1.619827361
-0.16,1.216880317
-0.15,1.216192768
-0.14,1.682019072
-0.13,1.194682968
-0.12,0.857204596
-0.11,1.118483629
-0.1,1.316892616
-0.09,1.215820115
-0.08,2.051386128
-0.07,2.507407291
-0.06,2.501229925
-0.05,2.504474032
-0.04,2.336226753
-0.03,2.658755709
-0.02,2.522169036
-0.01,1.387593702
0,2.9866865
0.01,1.207249056
0.02,2.341237088
0.03,1.490353052
0.04,1.567746204
0.05,1.77937561
0.06,1.515724681
0.07,2.153666753
0.08,3.061515965
0.09,1.969214437
0.1,2.368929681
0.11,2.433074492
0.12,2.669285734
0.13,2.063072708
0.14,2.997382044
0.15,3.140969964
0.16,2.821677779
0.17,1.91118341
0.18,2.953631576
0.19,1.66553166
0.2,2.409100381
0.21,2.641375903
0.22,2.847593471
0.23,2.226679862
0.24,2.937366873
0.25,3.27456936
0.26,1.631696643
0.27,1.816432685
0.28,3.286129957
0.29,2.423492965
0.3,2.422628349
0.31,3.538282681
0.32,3.140490586
0.33,3.621994229
0.34,2.147031611
0.35,1.892453522
0.36,2.489164398
0.37,2.740545102
0.38,2.900511738
0.39,3.733263193
0.4,2.785710362
0.41,2.621765733
0.42,3.829980524
0.43,2.381996017
0.44,3.210649421
0.45,3.828513232
0.46,3.262302073
0.47,2.538349713
0.48,3.022253054
0.49,1.98292635
0.5,3.767577619
